ticker,byma,nombre,mercado,ratio,tipo,rankea
ITA,ITA,iShares Aerospace & Defense,CBOE,50:1,etf,1
ITUB,ITUB,Itau Unibanco,NYSE,1:1,accion,1
IVE,IVE,iShares S&P 500 Value,NYSE Arca,40:1,etf,1
IVV,IVV,iShares Core S&P 500,NYSE,692:1,etf,1
IVW,IVW,iShares S&P 500 Growth,NYSE Arca,20:1,etf,1
IWM,IWM,iShares Russell 2000,NYSE Arca,10:1,etf,1
JCI,JCI,Johnson Controls,NYSE,2:1,accion,1
JD,JD,JD.com,NASDAQ,4:1,accion,1
JMIA,JMIA,Jumia,NYSE,1:1,accion,1
JNJ,JNJ,Johnson & Johnson,NYSE,15:1,accion,1
JPM,JPM,JPMorgan,NYSE,15:1,accion,1
KB,KB,KB Financial,NYSE,2:1,accion,1
KEEL,KEEL,Keel Infrastructure (ex Bitfarms),NASDAQ,1:5,accion,1
KGC,KGC,Kinross Gold,NYSE,1:1,accion,1
KMB,KMB,Kimberly-Clark,NYSE,6:1,accion,1
KO,KO,Coca-Cola,NYSE,5:1,accion,1
KOF,KOFM,Coca-Cola Femsa,NYSE,2:1,accion,1
LAC,LAC,Lithium Americas,NYSE,1:1,accion,1
LAR,LAR,Lithium Americas Argentina,NYSE,1:1,accion,1
LLY,LLY,Eli Lilly,NYSE,56:1,accion,1
LMT,LMT,Lockheed Martin,NYSE,20:1,accion,1
LND,LND,Brasilagro,NYSE,1:1,accion,1
LRCX,LRCX,Lam Research,NASDAQ,56:1,accion,1
LVS,LVS,Las Vegas Sands,NYSE,2:1,accion,1
LYG,LYG,Lloyds Banking,NYSE,2:1,accion,1
MA,MA,Mastercard,NYSE,33:1,accion,1
MCD,MCD,McDonald's,NYSE,24:1,accion,1
MDLZ,MDLZ,Mondelez,NASDAQ,15:1,accion,1
MDT,MDT,Medtronic,NYSE,4:1,accion,1
MELI,MELI,MercadoLibre,NASDAQ,120:1,accion,1
META,META,Meta Platforms,NASDAQ,24:1,accion,1
MFG,MFG,Mizuho,NYSE,1:1,accion,1
MRSH,MMC,Marsh (ex Marsh & McLennan),NYSE,16:1,accion,1
MMM,MMM,3M,NYSE,10:1,accion,1
MO,MO,Altria,NYSE,4:1,accion,1
MOS,MOS,Mosaic,NYSE,5:1,accion,1
MP,MP,MP Materials,NYSE,10:1,accion,1
MRK,MRK,Merck,NYSE,5:1,accion,1
MRNA,MRNA,Moderna,NASDAQ,19:1,accion,1
MRVL,MRVL,Marvell,NASDAQ,14:1,accion,1
MSFT,MSFT,Microsoft,NASDAQ,30:1,accion,1
MSI,MSI,Motorola Solutions,NYSE,20:1,accion,1
MSTR,MSTR,MicroStrategy,NASDAQ,20:1,accion,1
MU,MU,Micron,NASDAQ,5:1,accion,1
MUFG,MUFG,Mitsubishi UFJ,NYSE,1:1,accion,1
MUX,MUX,McEwen Mining,NYSE,2:1,accion,1
NBIS,NBIS,Nebius Group,NASDAQ,27:1,accion,1
NEE,NEE,NextEra Energy,NYSE,19:1,accion,1
NEM,NEM,Newmont,NYSE,3:1,accion,1
NFLX,NFLX,Netflix,NASDAQ,48:1,accion,1
NG,NG,NovaGold,NYSE,1:4,accion,1
NGG,NGG,National Grid,NYSE,2:1,accion,1
NIO,NIO,NIO,NYSE,4:1,accion,1
NKE,NKE,Nike,NYSE,12:1,accion,1
NMR,NMR,Nomura,NYSE,1:1,accion,1
NOK,NOKA,Nokia,NYSE,1:1,accion,1
NOW,NOW,ServiceNow,NYSE,172:1,accion,1
NTES,NTES,NetEase,NASDAQ,14:1,accion,1
NUE,NUE,Nucor,NYSE,16:1,accion,1
NVDA,NVDA,Nvidia,NASDAQ,24:1,accion,1
NVO,NVO,Novo Nordisk,NYSE,7:1,accion,1
NVS,NVS,Novartis,NYSE,4:1,accion,1
NXE,NXE,NexGen Energy,NYSE,1:1,accion,1
O,O,Realty Income,NYSE,13:1,accion,1
OKLO,OKLO,Oklo,NYSE,28:1,accion,1
ONDS,ONDS,Ondas Holdings,NASDAQ,2:1,accion,1
ORAN,ORAN,Orange,NYSE,1:1,accion,1
ORCL,ORCL,Oracle,NYSE,3:1,accion,1
ORLY,ORLY,O'Reilly Automotive,NASDAQ,222:1,accion,1
OXY,OXY,Occidental Petroleum,NYSE,5:1,accion,1
PAAS,PAAS,Pan American Silver,NASDAQ,3:1,accion,1
PAC,PAC,Grupo Aeroportuario Pacifico,NYSE,16:1,accion,1
PAGS,PAGS,PagSeguro,NYSE,3:1,accion,1
PANW,PANW,Palo Alto Networks,NASDAQ,50:1,accion,1
